crop_time,read_image_time,model_time,full_time,run_time
34.20,27482.80,0.60,27527.80,45.00
38.00,27806.00,0.70,27854.10,48.10
34.50,28403.00,0.60,28447.30,44.30
32.80,28673.70,0.50,28715.10,41.40
28.20,28760.00,1.10,28796.60,36.60
34.80,29919.20,0.70,29964.80,45.60
32.70,29310.90,0.50,29355.50,44.60
35.70,29302.20,0.60,29347.10,44.90
33.00,42594.00,0.60,42638.20,44.20
31.60,27942.60,0.90,27983.50,40.90
31.50,26708.10,0.70,26748.30,40.20
36.30,28633.40,0.70,28683.70,50.30
30.40,28596.40,0.90,28638.60,42.20
33.50,29019.70,0.60,29061.40,41.70
28.50,30009.10,0.90,30046.50,37.40
28.60,27873.00,0.60,27911.20,38.20
31.70,18294.80,0.80,18336.40,41.60
35.00,31325.10,0.40,31369.60,44.50
38.70,26138.40,0.70,26187.00,48.60
71.80,29139.80,1.50,29228.60,88.80
39.80,43984.80,0.40,44037.30,52.50
36.70,27736.30,0.60,27783.70,47.40
39.80,26461.20,0.60,26512.40,51.20
36.30,28403.50,0.60,28451.80,48.30
34.60,25883.80,1.30,25934.60,50.80
30.80,26156.90,0.60,26198.70,41.80
35.60,28583.70,0.60,28629.40,45.70
31.20,28914.00,0.40,28953.80,39.80
30.70,29747.80,0.60,29788.00,40.20
34.60,27164.40,0.50,27210.10,45.70
31.20,29604.30,0.40,29645.80,41.50
48.10,28376.00,0.60,28437.70,61.70
41.10,43571.90,0.80,43625.30,53.40
31.80,27715.20,0.30,27756.50,41.30
35.30,27722.50,0.60,27769.50,47.00
33.70,27919.40,0.50,27966.90,47.50
30.50,27101.60,0.60,27144.50,42.90
29.30,28631.10,0.50,28668.30,37.20
36.40,28905.80,0.60,28952.30,46.50
34.40,28858.00,0.50,28902.30,44.30
29.50,28670.60,0.60,28711.00,40.40
31.20,28749.30,0.40,28789.30,40.00
31.50,29829.10,0.70,29869.70,40.60
45.20,28277.50,0.60,28333.40,55.90
40.30,44490.70,0.80,44543.90,53.20
77.10,27144.60,0.40,27233.80,89.20
32.60,27961.80,0.60,28003.00,41.20
37.40,23934.60,0.70,23982.40,47.80
34.10,28504.60,1.00,28553.00,48.40
32.10,29202.70,0.50,29245.10,42.40
33.60,26203.90,0.50,26247.80,43.90
31.80,28427.50,0.50,28469.00,41.50
